City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
1,Prince Rupert,CA,50.0,few clouds,54.3161,-130.3201,Crest Hotel
4,Arraial Do Cabo,BR,71.71,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
5,Cape Town,ZA,64.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
6,Saint-Philippe,RE,75.2,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
7,Katsuura,JP,69.01,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
8,Vares,BA,51.8,broken clouds,44.1644,18.3283,Apartmani Baba Luce
9,Rikitea,PF,77.79,scattered clouds,-23.1203,-134.9692,Pension Maro'i
11,Lebu,CL,52.72,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
12,Poum,NC,78.03,few clouds,-20.2333,164.0167,Gîte kajeon
13,Sturgis,US,66.2,scattered clouds,41.7992,-85.4192,Best Western Plus Howe Inn
14,Port Lincoln,AU,63.37,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
16,Conceicao Da Barra,BR,69.1,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
20,Xining,CN,59.83,few clouds,36.6167,101.7667,Super Leisure Hotel
23,San Cristobal,VE,66.54,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
25,Jamestown,US,62.6,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
26,Lagoa,PT,61.14,overcast clouds,39.05,-27.9833,Casa Das Faias
27,East London,ZA,59.0,clear sky,-33.0153,27.9116,Tu Casa
28,Mataura,NZ,62.01,few clouds,-46.1927,168.8643,Ellie's Villa
30,Victoria,HK,77.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
31,Acapulco,MX,78.85,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
34,Isangel,VU,78.8,broken clouds,-19.55,169.2667,Tanna Lodge
38,Nkhotakota,MW,69.8,overcast clouds,-12.9274,34.2961,Sitima Inn
43,Saldanha,ZA,60.8,clear sky,-33.0117,17.9442,Blue Bay Lodge
