City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,77.0,78,90,10.36,light rain
1,Prince Rupert,CA,54.3161,-130.3201,50.0,71,20,4.61,few clouds
2,Atuona,PF,-9.8,-139.0333,80.42,78,96,14.32,overcast clouds
3,Qaanaaq,GL,77.484,-69.3632,25.14,61,97,5.93,overcast clouds
4,Arraial Do Cabo,BR,-22.9661,-42.0278,71.71,75,75,6.13,broken clouds
5,Cape Town,ZA,-33.9258,18.4232,64.0,66,0,3.44,clear sky
6,Saint-Philippe,RE,-21.3585,55.7679,75.2,69,0,6.91,clear sky
7,Katsuura,JP,35.1333,140.3,69.01,78,17,15.99,few clouds
8,Vares,BA,44.1644,18.3283,51.8,93,75,1.14,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,77.79,80,29,12.12,scattered clouds
10,Fare,PF,-16.7,-151.0167,81.45,73,93,8.34,overcast clouds
11,Lebu,CL,-37.6167,-73.65,52.72,89,100,5.35,overcast clouds
12,Poum,NC,-20.2333,164.0167,78.03,73,18,8.66,few clouds
13,Sturgis,US,41.7992,-85.4192,66.2,63,40,17.27,scattered clouds
14,Port Lincoln,AU,-34.7333,135.8667,63.37,60,82,14.99,broken clouds
15,Ushuaia,AR,-54.8,-68.3,33.8,75,75,18.41,broken clouds
16,Conceicao Da Barra,BR,-18.5933,-39.7322,69.1,87,100,4.47,overcast clouds
17,Rockhampton,AU,-23.3833,150.5,82.4,51,75,10.36,broken clouds
18,Punta Arenas,CL,-53.15,-70.9167,35.6,75,75,10.36,broken clouds
19,Hithadhoo,MV,-0.6,73.0833,83.93,72,99,13.8,overcast clouds
20,Xining,CN,36.6167,101.7667,59.83,36,13,14.97,few clouds
21,Ketchikan,US,55.3422,-131.6461,48.2,81,90,5.75,light rain
22,Narsaq,GL,60.9167,-46.05,41.0,22,40,48.34,light snow
23,San Cristobal,VE,7.7669,-72.225,66.54,98,99,0.81,overcast clouds
24,Vostok,RU,46.4856,135.8833,44.46,50,100,11.56,overcast clouds
25,Jamestown,US,42.097,-79.2353,62.6,63,90,8.05,overcast clouds
26,Lagoa,PT,39.05,-27.9833,61.14,86,100,12.95,overcast clouds
27,East London,ZA,-33.0153,27.9116,59.0,82,0,4.61,clear sky
28,Mataura,NZ,-46.1927,168.8643,62.01,67,20,4.0,few clouds
29,Albany,US,42.6001,-73.9662,54.0,66,99,3.27,overcast clouds
30,Victoria,HK,22.2855,114.1577,77.0,88,91,1.99,overcast clouds
31,Acapulco,MX,16.8634,-99.8901,78.85,63,2,5.19,clear sky
32,Nemuro,JP,43.3236,145.575,46.4,57,75,3.44,broken clouds
33,Paciran,ID,-6.8767,112.3761,87.8,62,5,12.26,clear sky
34,Isangel,VU,-19.55,169.2667,78.8,94,75,5.75,broken clouds
35,Sorland,NO,67.667,12.6934,36.5,57,4,15.12,clear sky
36,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,90,8.05,overcast clouds
37,Leningradskiy,RU,69.3833,178.4167,22.93,83,83,6.02,broken clouds
38,Nkhotakota,MW,-12.9274,34.2961,69.8,76,92,14.18,overcast clouds
39,Yulara,AU,-25.2406,130.9889,84.2,20,91,6.91,overcast clouds
40,Banda Aceh,ID,5.5577,95.3222,86.68,65,99,2.51,overcast clouds
41,Rohatyn,UA,49.409,24.6093,48.2,61,75,15.66,broken clouds
42,Barrow,US,71.2906,-156.7887,19.4,68,90,3.44,light snow
43,Saldanha,ZA,-33.0117,17.9442,60.8,41,0,2.3,clear sky
44,Hofn,IS,64.2539,-15.2082,33.13,59,2,14.76,clear sky
45,Arman,RU,59.7,150.1667,38.86,77,56,3.42,broken clouds
46,Nanortalik,GL,60.1432,-45.2371,38.59,55,100,23.98,overcast clouds
47,Sakakah,SA,29.9697,40.2064,64.4,20,0,6.46,clear sky
48,Yamada,JP,39.4667,141.95,58.26,56,81,15.88,broken clouds
49,Eureka,US,40.8021,-124.1637,53.01,82,20,8.01,few clouds
50,Thompson,CA,55.7435,-97.8558,30.2,69,40,3.44,scattered clouds
51,Lao Cai,VN,22.4833,103.95,89.17,59,32,2.35,scattered clouds
52,Tezu,IN,27.9167,96.1667,88.97,36,12,5.68,few clouds
53,Lowestoft,GB,52.4752,1.7516,44.01,84,100,1.99,overcast clouds
54,Puerto Ayora,EC,-0.7393,-90.3518,74.37,82,28,9.37,scattered clouds
55,Tazovskiy,RU,67.4667,78.7,30.72,95,100,12.03,overcast clouds
